Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Citrix NetScaler Architect,Architecture,remote,mid,Fujitsu Technology Solutions Sp. z o.o.,Katowice,,None-None,"""Citrix solutions"" ""NetScaler"" ""WIN10"" ""cloud infrastructures AWS"" ""MS Azure"" ""IT technologies""",,/offers/fujitsu-technology-citrix-netscaler-architect
Młodszy Specjalista ds. bezpieczeństwa IT (CERT),Security,office,mid,PGE Systemy S.A.,Warszawa,None-None,,,"""SIEM"" ""EDR"" ""NGFW"" ""DLP"" ""IPS"" ""IDS"" ""SOAR""",/offers/pge-systemy-s-a-mlodszy-specjalista-ds-bezpieczenstwa-it-cert-warszawa
Frontend Angular Developer,JS,remote,mid,Hobly,Warszawa,,18000-23500,"""TypeScript"" ""JavaScript"" ""HTML5"" ""CSS"" ""Angular""","""React""",/offers/hobly-frontend-angular-developer
PL/pgSQL Developer with Python,Data,remote,senior,DO OK S.A.,Wrocław,,18000-23000,"""PL/pgSQL"" ""Python"" ""GraphQL"" ""Linux"" ""Bash"" ""makefile"" ""API Design"" ""Hasura""",,/offers/do-ok-s-a-pl-pgsql-developer-with-python-wroclaw
Programista Fullstack,Java,remote,mid,Netia S.A.,Warszawa,None-None,,"""PL/SQL"" ""SQL"" ""Angular"" ""React"" ""SVN"" ""Git"" ""Jenkins""",,/offers/netia-s-a-programista-fullstack
Senior Architect - End-user Services,Architecture,office,senior,Arla,Gdynia,None-None,,"""Device Management"" ""AVD"" ""Software distibution"" ""Enduser technologies""",,/offers/arla-senior-architect-end-user-services-gdynia
Service Desk Administrator with Ukrainian & Polish & English,Support,hybrid,mid,WIPRO,Gdynia,None-None,,"""Customer Support"" ""IT Support"" ""Helpdesk""",,/offers/wipro-service-desk-administrator-with-ukrainian-polish-english-gdynia
Embedded Software Developer,C,hybrid,senior,Ework Group,Kraków,15000-25000,20000-28500,"""C++"" ""C"" ""Embedded C"" ""Embedded C++"" ""Linux"" ""Python""",,/offers/ework-group-embedded-software-developer
Azure Cloud Architect (Data),Architecture,remote,senior,Link Group,Kraków,,35280-40000,"""Azure"" ""ETL"" ""Architecture"" ""Big Data"" ""Data modeling"" ""Data Warehousing""",,/offers/link-group-azure-cloud-architect-data-krakow
Software Developer (Clojure),JS,remote,mid,Commoditech,Warszawa,,21000-27000,"""Clojure"" ""AWS"" ""AngularJS"" ""JavaScript""",,/offers/commoditech-clojure-developer
ServiceNow Developer,JS,remote,mid,SPOC S.A.,Warszawa,,,,"""JavaScript"" ""HTML"" ""CSS"" ""Bootstrap"" ""SOAP"" ""REST"" ""AngularJS""",/offers/spoc-s-a-servicenow-developer-warszawa
Specjalista ds. IT (Symfony lub Magento),PHP,remote,senior,KODANO S.A.,Poland,,15000-15000,"""Magento 2"" ""Symfony"" ""Bazy Danych"" ""Memcached"" ""PHP 8"" ""REST API"" ""Scrum"" ""SQL"" ""Testing"" ""Varnish""",,/offers/kodano-s-a-specjalista-ds-it-symfony-lub-magento
Senior React & React Native Developer with Node.js or .NET Expertise - Poznań,JS,office,senior,Croney Financial OU,Poznań,,15000-40000,"""React"" ""React Native"" ""Node.js"" "".Net""",,/offers/croney-financial-ou-senior-react-react-native-developer-with-node-js-or-net-expertise-poznan
QA Automation Engineer,Testing,remote,mid,CrustLab,Warszawa,11000-14000,13000-17000,"""Cypress"" ""TypeScript"" ""Python"" ""HTTP protocol"" ""Locust""",,/offers/crustlab-qa-automation-engineer-warszawa-329363
